Elongation,Force,?,Time
50.73587969,7.012455463,16.9978682,0.254366668
50.84599927,6.981829643,17.05596037,0.254916668
50.95593631,7.029041767,17.06757955,0.255466668
51.06596276,7.094137192,17.12567173,0.256016668
51.1758998,7.146960735,17.14890823,0.256566668
51.28597468,7.147855759,17.17214659,0.257116667
51.39600486,7.172963619,17.18376391,0.257666667
51.50593817,7.20307827,17.2070004,0.258216667
51.61601678,7.330650806,17.23023877,0.258766667
51.72604322,7.238624096,17.31156744,0.259316667
51.83598027,7.16104126,17.33480394,0.259866667
51.94605142,7.167463779,17.39289612,0.260416667
52.05603316,7.423384666,17.3812788,0.260966667
52.16606706,7.407929897,17.39289612,0.261516666
52.27600038,7.354226589,17.41613448,0.262066666
52.38607526,7.307741642,17.49746315,0.262616666
52.496057,7.360658646,17.56717451,0.263166666
52.60599032,7.322553635,17.55555533,0.263716666
52.71606892,7.283498287,17.64850505,0.264266666
52.82600224,7.238441944,17.60203019,0.264816666
52.93607712,7.380912304,17.636884,0.265366666
53.04601416,7.434299469,17.71821454,0.265916665
53.15608904,7.427377701,17.7879259,0.266466665
53.26607078,7.374325275,17.7879259,0.267016665
53.37600783,7.264382839,17.82277972,0.267566681
53.4860827,7.328742027,17.83440076,0.268116665
53.59601602,7.5745368,17.86925457,0.268666681
53.70600149,7.545243263,17.97382161,0.269216665
53.81602794,7.527774334,17.93896593,0.26976668
53.92600968,7.399478436,18.02029647,0.270316664
54.03603613,7.582018375,17.99705811,0.27086668
54.14597318,7.643836021,18.00867729,0.271416664
54.25600335,7.54999733,18.05515029,0.27196668
54.36594039,7.435322285,18.11324246,0.272516664
54.47592214,7.529170036,18.13648082,0.27306668
54.58599329,7.570511341,18.194573,0.273616664
54.69597876,7.603339672,18.20619218,0.274166679
54.80600893,7.750310421,18.241046,0.274716663
54.91599068,7.738386631,18.26428436,0.275266679
55.02606556,7.603646755,18.33399571,0.275816663
55.1360473,7.636625767,18.31075922,0.276366679
55.24598435,7.72519207,18.39208789,0.276916663
55.3561002,7.728088379,18.40370521,0.277466679
55.46603724,7.702681541,18.41532439,0.278016663
55.57611585,7.828164577,18.43856275,0.278566678
55.68604916,7.66774416,18.49665493,0.279116662
55.79612404,7.700420856,18.53150874,0.279666678
55.90606108,7.74921751,18.54312979,0.280216662
56.01609126,7.701158047,18.58960092,0.280766678
56.126073,8.00094223,18.61283928,0.281316662
56.23605475,7.916743755,18.63607578,0.281866678
56.3460812,8.0030756,18.71740445,0.282416662
56.45606294,7.906486511,18.68255064,0.282966677
56.56609312,7.827591419,18.77549849,0.283516661
56.67603016,7.868237495,18.76387931,0.284066677
56.78610131,7.897546768,18.78711767,0.284616661
56.89603835,7.935753345,18.82197149,0.285166677
57.00606853,7.894860268,18.88006367,0.285716661
57.11600184,8.026241302,18.91492121,0.286266677
57.22603202,8.071368217,18.93815771,0.286816661
57.33596906,7.854133606,18.96139607,0.287366676
57.44604021,7.93372345,18.97301339,0.28791666
57.55593255,8.078011513,19.0078672,0.288466676
57.66600743,8.019144058,19.06596124,0.28901666
57.77589232,8.130428314,19.08919774,0.289566676
57.88597092,8.115019798,19.1589091,0.29011666
57.99599737,8.13912487,19.14729178,0.290666676
58.10593441,8.102329254,19.17052828,0.29121666
58.21596459,8.0966959,19.22862045,0.291766675
58.32594633,8.202145576,19.30994913,0.292316659
58.43597278,8.070356369,19.29832995,0.292866675
58.54600295,8.290016174,19.32156831,0.293416659
58.65589157,8.267877579,19.35642399,0.293966675
58.76605958,8.217183113,19.42613348,0.294516659
58.87590349,8.192222595,19.42613348,0.295066675
58.98602307,8.304197311,19.47260834,0.295616659
59.09600481,8.187470436,19.50746402,0.296166674
59.20599028,8.09968853,19.53070052,0.296716658
59.31601673,8.311603546,19.57717538,0.297266674
59.42590535,8.356941223,19.5887927,0.297816658
59.53607708,8.266999245,19.60041188,0.298366674
59.64596197,8.454859734,19.64688674,0.298916658
59.75599214,8.330958366,19.70497891,0.299466674
59.86597389,8.307435989,19.70497891,0.300016658
59.97600034,8.362988472,19.75145377,0.300566673
60.08603424,8.340783119,19.77468841,0.301116657
60.19591913,8.393088341,19.79792677,0.301666673
60.30604243,8.546404839,19.85602081,0.302216657
60.41593105,8.523277283,19.87925544,0.302766673
60.52595749,8.542555809,19.89087462,0.303316657
60.63593924,8.685170174,19.91411299,0.303866673
60.74597314,8.539876938,19.96058412,0.304416656
60.85595489,8.562353134,19.9722033,0.304966672
60.96593291,8.49266243,20.00705898,0.305516656
61.07591465,8.567316055,20.00705898,0.306066672
61.1858964,8.648330688,20.04191652,0.306616656
61.29587814,8.721036911,20.08838765,0.307166672
61.40591204,8.710127831,20.11162601,0.307716656
61.51593849,8.613460541,20.16971819,0.308266671
61.62596494,8.61301899,20.16971819,0.308816655
61.73590198,8.764965057,20.20457387,0.309366671
61.84593216,8.740886688,20.23942955,0.309916655
61.95600331,8.755151749,20.25104873,0.310466671
62.06594035,8.749326706,20.30914091,0.311016655
62.1759668,8.70868969,20.30914091,0.311566671
62.2860007,8.838249207,20.34399658,0.312116655
62.39607185,8.91644001,20.3788504,0.31266667
